,stock_n,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,torque,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,fuel_cap,epa_mpg,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,tow_cap,pay_cap,gross,tire,trans
36,16327491,27K,Gray,Gray,4WDWD,2.5L engine,4 cylinders,170 horsepower@5800rpm,N/A,10.00,Variable Timing,Gas,3.70,3.54,4,N/A,26/32,103.9'',180.9'',70.7'',68.2'',3366 lbs.,43.0'',40.0'',5/5,31.5 cu. ft.,1000/1500 lbs.,1114 lbs.,4480 lbs.,N/A,N/A
37,16450558,51K,Black,Silver,4WDWD,2.0L engine,4 cylinders,148 horsepower@6200rpm,145 torque@4200rpm,11:1,N/A,Gas,3.31,3.54,4,N/A,27/36,"104.1""","173.8""",N/R,59,3086 lbs.,"43.5""","39.8""",5/5,52 cu. ft.,N/A,N/A,N/R,N/A,N/A
38,16237912,10K,Black,Silver,4WDWD,2.5L engine,4 cylinders,175 horsepower@5800rpm,N/A,10.30,Variable Timing,Gas,3.70,3.54,4,N/A,25/32,108.1'',189.6'',72.4'',66.1'',3633 lbs.,42.9'',40.8'',5/5,35.5 cu. ft.,N/A,N/A,N/A,N/A,N/A
39,16568129,64K,Black,Blue,4WDWD,3.6L engine,6 cylinders,256 horsepower@6000rpm,247 torque@4400rpm,11:1,Variable Timing DOHC,Gas,3.62,3.58,4,N/A,20/27,"108.1""","189.6""",72,66,3810 lbs.,"42.9""","40.8""",5/5,36 cu. ft.,N/A,N/A,N/R,N/A,N/A
40,16004416,56K,Black,Blue,4WDWD,2.5L engine,4 cylinders,175 horsepower@5800rpm,174 torque@4000rpm,10:1,Variable Timing DOHC,Gas,3.70,3.54,4,N/A,25/33,"108.1""","189.6""",72,66,3633 lbs.,"42.9""","40.8""",5/5,36 cu. ft.,N/A,N/A,N/R,N/A,N/A
41,16250233,28K,Black,Silver,4WDWD,2.0L engine,4 cylinders,148 horsepower@6200rpm,145 torque@4200rpm,11:1,Variable Timing,Gas,3.31,3.54,4,N/A,26/33,"103.7""","175.2""",70,63,3208 lbs.,"43.5""","39.8""",5/5,22 cu. ft.,1000/1500 lbs.,1135 lbs.,4343 lbs.,N/A,N/A
42,16170893,19K,Black,Silver,2WDWD,2.0L engine,4 cylinders,200 horsepower@7000rpm,N/A,12.50,Variable Timing,Gas,3.39,3.39,4,N/A,24/32,101.2'',166.7'',69.9'',50.6'',2806 lbs.,41.9'',37.1'',4/4,6.9 cu. ft.,N/A,N/A,N/A,N/A,N/A
43,15660768,47K,Gray,Silver,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,170 torque@4100rpm,10:1,Variable Timing DOHC,Gas,3.54,3.86,4,N/A,25/35,"109.3""","190.9""",71,57,3190 lbs.,"41.6""","38.8""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
44,15915222,34K,Gray,Gray,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,170 torque@4100rpm,10:1,Variable Timing DOHC,Gas,3.54,3.86,4,N/A,25/35,"109.3""","190.9""",71,57,3190 lbs.,"41.6""","38.8""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
45,16238191,9K,Tan,White,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,N/A,10.40,Variable Timing,Gas,3.54,3.86,4,N/A,24/33,109.3'',190.9'',71.7'',57.9'',3240 lbs.,41.6'',38.8'',5/5,15.4 cu. ft.,N/A,N/A,N/A,N/A,N/A
46,16249958,89K,Gray,Gray,2WDWD,2.4L engine,4 cylinders,158 horsepower@6000rpm,162 torque@4000rpm,9.8:1,Dual Overhead Cam,Gas,3.48,3.78,4,18.50,21/31,"109.3""","189.2""",71,57,3263 lbs.,"41.7""","38.8""",5/5,15 cu. ft.,1000 lbs.,N/A,N/R,N/A,N/A
47,16327640,25K,Gray,White,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,170 torque@4100rpm,10:1,Variable Timing DOHC,Gas,3.54,3.86,4,N/A,25/35,"109.3""","190.9""",71,57,3190 lbs.,"41.6""","38.8""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
48,15907832,11K,Black,Blue,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,N/A,10.40,Variable Timing,Gas,3.54,3.86,4,N/A,24/33,109.3'',190.9'',71.7'',57.9'',3300 lbs.,41.6'',38.8'',5/5,15.4 cu. ft.,N/A,N/A,N/A,N/A,N/A
49,16004404,60K,Gray,Gray,2WDWD,3.5L engine,6 cylinders,268 horsepower@6200rpm,248 torque@4700rpm,11:1,Dual Overhead Cam,Gas,3.70,3.27,4,N/A,21/31,"109.3""","189.2""",N/R,57,3420 lbs.,"41.6""","38.8""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
50,16237578,54K,Black,Red,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,170 torque@4100rpm,10:1,Variable Timing DOHC,Gas,3.54,3.86,4,N/A,25/35,"109.3""","189.2""",71,57,3240 lbs.,"41.6""","38.8""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
51,16237655,15K,Black,Black,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,N/A,10.40,Variable Timing,Gas,3.54,3.86,4,N/A,24/33,109.3'',190.9'',71.7'',57.9'',3300 lbs.,41.6'',38.8'',5/5,15.4 cu. ft.,N/A,N/A,N/A,N/A,N/A
52,16241035,42K,Black,Black,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,170 torque@4100rpm,10:1,Variable Timing DOHC,Gas,3.54,3.86,4,N/A,25/35,"109.3""","190.9""",71,57,3240 lbs.,"41.6""","38.8""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
53,16171261,22K,Black,Blue,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,170 torque@4100rpm,10:1,Variable Timing,Gas,3.54,3.86,4,N/A,25/34,"109.3""","190.9""",71,57,3300 lbs.,"41.6""","38.8""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
54,15915220,51K,Gray,White,2WDWD,3.5L engine,6 cylinders,268 horsepower@6200rpm,248 torque@4700rpm,11:1,Variable Timing DOHC,Gas,3.70,3.27,4,N/A,21/31,"109.3""","190.9""",71,57,3395 lbs.,"41.6""","37.9""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
55,16238011,36K,Black,White,2WDWD,2.5L engine,4 cylinders,178 horsepower@6000rpm,170 torque@4100rpm,10:1,Variable Timing DOHC,Gas,3.54,3.86,4,N/A,25/35,"109.3""","190.9""",71,57,3245 lbs.,"41.6""","38.8""",5/5,15 cu. ft.,N/A,N/A,N/R,N/A,N/A
56,16237564,86K,Gray,Blue,2WDWD,1.8L engine,4 cylinders,132 horsepower@6000rpm,128 torque@4400rpm,10:1,Variable Timing DOHC,Gas,3.17,3.48,4,N/A,29/38,"106.3""","182.6""",69,57,2855 lbs.,"42.3""","38.3""",5/5,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
57,16238099,43K,Black,White,2WDWD,1.8L engine,4 cylinders,132 horsepower@6000rpm,N/A,10.00,Variable Timing,Gas,3.17,3.48,4,N/A,28/36,106.3'',182.6'',69.9'',57.3'',2855 lbs.,42.3'',38.3'',5/5,13.2 cu. ft.,N/A,N/A,N/A,N/A,N/A
58,16440613,21K,Tan,Black,2WDWD,1.8L engine,4 cylinders,132 horsepower@6000rpm,128 torque@4400rpm,10:1,Variable Timing DOHC,Gas,3.17,3.48,4,N/A,29/38,"106.3""","182.6""",69,57,2855 lbs.,"42.3""","38.3""",5/5,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
59,16568309,35K,Black,Red,2WDWD,1.8L engine,4 cylinders,132 horsepower@6000rpm,128 torque@4400rpm,10:1,Variable Timing,Gas,3.17,3.48,4,N/A,29/37,"106.3""","182.6""",69,57,2865 lbs.,"42.3""","38.3""",5/5,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
60,16568392,9K,Black,Silver,2WDWD,1.8L engine,4 cylinders,132 horsepower@6000rpm,N/A,10.00,Variable Timing,Gas,3.17,3.48,4,N/A,28/36,106.3'',183.1'',69.9'',57.3'',2865 lbs.,42.3'',38.3'',5/5,13.2 cu. ft.,N/A,N/A,N/A,N/A,N/A
61,16327517,50K,Gray,Silver,4WDWD,3.5L engine,6 cylinders,270 horsepower@6200rpm,248 torque@4700rpm,11:1,Variable Timing DOHC,Gas,3.70,3.27,4,N/A,18/24,"109.8""","191.1""",75,68,4464 lbs.,"44.2""","39.5""",8/7,14 cu. ft.,1000/5000 lbs.,1455 lbs.,6000 lbs.,N/A,N/A
62,15290259,23K,Black,Gray,4WDWD,3.5L engine,6 cylinders,280 horsepower@5800rpm,215 torque@4800rpm,13:1,Variable Timing,Gas/Electric,3.70,3.27,4,N/A,27/28,"109.8""","191.1""",75,68,4861 lbs.,"44.2""","39.5""",7/7,14 cu. ft.,1000/3500 lbs.,1305 lbs.,6270 lbs.,N/A,N/A
63,16198908,27K,Gray,Gray,2WDWD,1.8L engine,4 cylinders,121 horsepower@5200rpm,105 torque@3600rpm,13:1,Variable Timing,Gas/Electric,3.17,3.48,4,N/A,54/50,"106.3""","178.7""",69,58,3080 lbs.,"43.2""","39.4""",5/5,25 cu. ft.,N/A,N/A,N/R,N/A,N/A
64,16238237,15K,Gray,Black,2WDWD,1.8L engine,4 cylinders,134 horsepower@5200rpm,105 torque@4000rpm,13:1,Variable Timing DOHC,Gas/Electric,3.17,3.48,4,N/A,44/40,"109.4""","182.3""",69,62,3274 lbs.,"41.3""","39.6""",5/5,34 cu. ft.,N/A,N/A,N/R,N/A,N/A
65,16237753,48K,Gray,Silver,2WDWD,3.5L engine,6 cylinders,266 horsepower@6200rpm,245 torque@4700rpm,11:1,Variable Timing,Gas,3.70,3.27,4,N/A,18/25,"119.3""","200.2""",78,70,4415 lbs.,"40.5""","41.0""",8/8,39 cu. ft.,1000/3500 lbs.,1335 lbs.,5995 lbs.,N/A,N/A
66,16004638,27K,Black,Black,2WDWD,2.7L engine,4 cylinders,159 horsepower@5200rpm,180 torque@3800rpm,10:1,Variable Timing,Gas,3.74,3.74,4,N/A,19/23,"127.4""","212.3""",74,70,3765 lbs.,"42.9""","39.7""",5/5,N/R,1000/3500 lbs.,1505 lbs.,4900 lbs.,N/A,N/A
67,15777872,42K,Gray,White,2WDWD,2.7L engine,4 cylinders,159 horsepower@5200rpm,N/A,N/A,Dual Overhead Cam,Gas,3.74,3.74,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
