,stock_n,mileage,interior_color,exterior_color,drive_type,engine_size,num_cylinders,hp,torque,comp_ratio,cam_shaft,engine_type,bore,stroke,values_per_cylinder,fuel_cap,epa_mpg,wheel_base,length,width,height,curb_weight,leg_room,head_room,seating_cap,cargo_cap,tow_cap,pay_cap,gross,tire,trans
26,16597929,45K,Black,Gray,2WDWD,3.6L engine,6 cylinders,287 horsepower@6400rpm,N/A,11.30,Variable Timing,Gas,3.78,3.27,4,N/A,18/28,121.6'',203.6'',79.6'',69.9'',4652 lbs.,41.1'',40.1'',7/8,32.3 cu. ft.,2000/3600 lbs.,1675 lbs.,6050 lbs.,N/A,N/A
27,16250216,20K,Black,Black,2WDWD,5.7L engine,8 cylinders,372 horsepower@5200rpm,400 torque@4400rpm,11:1,Variable Timing,Gas,3.92,3.58,2,N/A,15/23,"116.2""","197.9""",75,57,4082 lbs.,"42.0""","39.3""",5/5,16 cu. ft.,N/A,N/A,N/R,N/A,N/A
28,16005665,9K,Black,Gray,2WDWD,6.4L engine,8 cylinders,485 horsepower@6000rpm,475 torque@4200rpm,11:1,N/A,Gas,4.09,3.72,2,N/A,15/25,"120.2""","200.8""",75,58,4400 lbs.,"41.8""","38.6""",5/5,17 cu. ft.,N/A,N/A,N/R,N/A,N/A
29,16005465,34K,Black,Gray,2WDWD,3.6L engine,6 cylinders,292 horsepower@6350rpm,260 torque@4800rpm,10:1,Variable Timing DOHC,Ethanol/Gas,3.78,3.27,4,N/A,19/31,"120.2""","198.4""",75,58,3996 lbs.,"41.8""","38.6""",5/5,17 cu. ft.,N/A,N/A,N/R,N/A,N/A
30,16339135,27K,Black,Black,2WDWD,2.4L engine,4 cylinders,184 horsepower@6250rpm,171 torque@4800rpm,10:1,Variable Timing OHC,Gas,3.46,3.82,4,N/A,23/35,"106.4""","183.9""",72,57,3297 lbs.,"42.2""","38.6""",5/5,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
31,16450715,50K,n/a,Gray,2WDWD,2.4L engine,4 cylinders,184 horsepower@6250rpm,171 torque@4800rpm,10:1,Variable Timing OHC,Gas,3.46,3.82,4,N/A,22/34,"106.4""","183.9""",72,57,3165 lbs.,"42.2""","38.6""",5/5,13 cu. ft.,N/A,N/A,N/R,N/A,N/A
32,15908364,37K,Black,Gray,2WDWD,3.6L engine,6 cylinders,290 horsepower@6400rpm,260 torque@4800rpm,10:1,Variable Timing DOHC,Gas,3.78,3.27,4,N/A,18/25,"119.8""","201.2""",75,70,4756 lbs.,"40.3""","39.9""",7/7,17 cu. ft.,2000/6200 lbs.,1330 lbs.,6500 lbs.,N/A,N/A
33,16450769,39K,Black,Black,4WDWD,3.0L engine,6 cylinders,240 horsepower@3600rpm,269 torque@4175rpm,10:1,Variable Timing DOHC,Turbo Diesel,3.27,3.62,4,N/A,19/27,"140.5""","229.0""",79,75,5596 lbs.,"41.0""","41.0""",6/6,N/R,2000/10350 lbs.,1240 lbs.,6800 lbs.,N/A,N/A
34,16237503,41K,Black,Black,2WDWD,1.4L engine,4 cylinders,160 horsepower@5500rpm,170 torque@2500rpm,9.8:1,Variable Timing OHC,Turbo Gas,2.83,3.31,4,N/A,28/34,"90.6""","144.4""",64,59,2545 lbs.,"40.7""","38.6""",4/4,5 cu. ft.,N/A,N/A,N/R,N/A,N/A
35,16005263,56K,Gray,Red,2WDWD,1.4L engine,4 cylinders,101 horsepower@6500rpm,98 torque@4000rpm,11:1,Single Overhead Cam,Gas,2.83,3.31,4,N/A,27/34,"90.6""","139.6""",64,59,2350 lbs.,"40.7""","38.9""",4/4,10 cu. ft.,N/A,N/A,N/R,N/A,N/A
36,16004584,12K,Black,Orange,2WDWD,2.4L engine,4 cylinders,180 horsepower@6400rpm,175 torque@3900rpm,10:1,Variable Timing,Gas,3.46,3.82,4,N/A,22/30,"101.2""","168.2""",70,63,2967 lbs.,"41.4""","39.1""",5/5,19 cu. ft.,N/A,N/A,N/R,N/A,N/A
37,16450829,56K,Gray,Black,2WDWD,2.0L engine,4 cylinders,188 horsepower@6000rpm,129 torque@4000rpm,12:1,Dual Overhead Cam,Gas/Electric,3.44,3.27,4,N/A,42/37,"104.3""","173.6""",72,63,3682 lbs.,"43.1""","41.0""",5/5,25 cu. ft.,N/A,N/A,N/R,N/A,N/A
38,16237782,4K,Black,Blue,4WDWD,2.0L engine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,16005564,51K,Black,Silver,2WDWD,2.5L engine,4 cylinders,168 horsepower@6000rpm,184 torque@2500rpm,10:1,Variable Timing DOHC,Turbo Gas,3.50,3.94,4,N/A,22/31,"105.9""","178.1""",72,66,3502 lbs.,"43.1""","39.9""",5/5,34 cu. ft.,3500 lbs.,1268 lbs.,4760 lbs.,N/A,N/A
40,16338873,74K,Black,Blue,2WDWD,2.5L engine,4 cylinders,171 horsepower@6000rpm,171 torque@4500rpm,9.7:1,Dual Overhead Cam,Gas,3.50,3.94,4,N/A,21/28,"103.1""","174.7""",71,67,3296 lbs.,"41.6""","40.4""",5/5,66 cu. ft.,3500 lbs.,N/A,4440 lbs.,N/A,N/A
41,16327648,64K,Gray,Black,4WDWD,3.5L engine,6 cylinders,290 horsepower@6500rpm,255 torque@4000rpm,11:1,Variable Timing DOHC,Ethanol/Gas,3.64,3.41,4,N/A,17/23,"112.6""","197.1""",78,70,4697 lbs.,"40.6""","41.4""",7/6,21 cu. ft.,N/A,1420 lbs.,6190 lbs.,N/A,N/A
42,16171143,58K,Black,Red,4WDWD,3.5L engine,6 cylinders,365 horsepower@5500rpm,350 torque@3500rpm,10:1,Variable Timing,Turbo Gas,3.64,3.41,4,N/A,16/22,"112.8""","198.3""",78,71,4610 lbs.,"42.9""","41.4""",7/6,21 cu. ft.,5000 lbs.,N/A,N/R,N/A,N/A
