,stock_n,year,brand,model,price
827,16237730,2014,Volkswagen,Passat SE,14599.0
828,16250597,2014,Volkswagen,Tiguan S,15998.0
829,16568089,2016,Volvo,S80 T5 Platinum,21998.0
830,16250155,2015,Volvo,XC60 T5 Premier,20998.0
831,15908835,2015,Acura,RDX,22998.0
832,16171183,2013,Audi,A4 Premium Plus,21998.0
833,15908972,2015,Audi,Q7 Premium Plus,32998.0
834,15908978,2016,Audi,S3 Premium Plus,28998.0
835,15908224,2015,BMW,320 I,17998.0
836,16250149,2009,BMW,328 I,13998.0
837,16250203,2012,BMW,328 I,15998.0
838,16237640,2014,BMW,328 XI,20998.0
839,16238419,2014,BMW,X6 M,45998.0
840,16451010,2015,Buick,LaCrosse Leather,19998.0
841,14963460,2015,Cadillac,Escalade Platinum,60998.0
842,16039102,2017,Cadillac,XTS Luxury,25998.0
843,15660875,2015,Chevrolet,Camaro LS,17998.0
844,16171348,2016,Chevrolet,Colorado LT,29998.0
845,16238689,2007,Chevrolet,HHR LT,9998.0
846,16568249,2015,Chevrolet,Impala LS,15998.0
847,16171123,2014,Chevrolet,Impala Limited LTZ,12599.0
848,16451019,2015,Chevrolet,Malibu LS,12998.0
849,16238226,2017,Chevrolet,Malibu LT,15998.0
850,16257433,2017,Chevrolet,Malibu LT,15998.0
851,15325981,2014,Chevrolet,Sonic RS,11998.0
852,16171002,2015,Chevrolet,Spark LS,9998.0
853,16238080,2016,Chevrolet,Spark LS,11599.0
854,15777908,2017,Chevrolet,Spark LT,14998.0
855,16171294,2015,Chrysler,200 Limited,13599.0
856,16348170,2015,Chrysler,200 Limited,12998.0
857,16409415,2016,Dodge,Dart SE,11998.0
858,16237494,2016,Dodge,Dart SXT Sport,11998.0
859,16450627,2012,Dodge,Durango Citadel,23998.0
860,15914556,2017,Dodge,Durango R/T,37998.0
861,16005469,2012,Dodge,Grand Caravan Crew,18998.0
862,16238770,2017,Dodge,Journey SXT,20998.0
863,16237426,2012,Dodge,Ram 1500 Express,20998.0
864,16597133,2016,Dodge,Ram 1500 Rebel,36998.0
865,16250146,2014,Dodge,Ram 1500 Sport,28998.0
866,16104178,2017,Fiat,124 Spider Abarth,24998.0
867,16237665,2017,Ford,Edge SE,24998.0
868,16238298,2016,Ford,Edge SEL,21998.0
869,16217694,2017,Ford,Escape SE,19998.0
870,16327439,2015,Ford,Escape SE,17998.0
871,16171498,2013,Ford,Escape SEL,15599.0
872,16249914,2013,Ford,Escape SEL,15998.0
873,16170880,2014,Ford,Escape Titanium,16998.0
874,16327636,2016,Ford,Explorer Limited,28998.0
875,16238035,2018,Ford,Explorer Sport,38998.0
876,16327929,2015,Ford,Explorer Sport,34998.0
877,16238802,2015,Ford,Explorer XLT,26998.0
878,16327468,2015,Ford,Explorer XLT,26998.0
879,16338803,2013,Ford,Explorer XLT,19998.0
880,16238699,2014,Ford,F150 XL,23998.0
881,16250278,2011,Ford,Fiesta SE,7599.0
882,16250365,2010,Ford,Focus SES,9998.0
883,16238443,2014,Ford,Focus ST,15998.0
884,16238039,2008,Ford,Fusion S,8998.0
885,15908629,2014,Ford,Fusion SE,13998.0
886,16250460,2012,Ford,Fusion SE,11998.0
887,16451018,2015,Ford,Fusion SE,14599.0
888,16450941,2016,Ford,Fusion Titanium,21998.0
889,16327939,2016,Ford,Fusion Hybrid SE,16998.0
890,16327943,2015,Ford,Fusion Hybrid Titanium,17998.0
891,16238308,2017,Ford,Mustang EcoBoost,22998.0
892,16250758,2016,Ford,Mustang GT,30998.0
893,16238229,2015,Ford,Mustang,17998.0
894,16238775,2014,Ford,Mustang,16998.0
895,16238433,2018,Ford,Taurus SHO,30998.0
896,16450774,2017,Ford,Transit Connect XLT,22998.0
897,16005325,2017,GMC,Canyon Denali,37998.0
898,16238124,2017,GMC,Sierra 1500 Denali,48998.0
899,15574735,2015,GMC,Sierra 1500 SLT,30998.0
900,15908294,2015,Honda,Accord EX-L,18998.0
901,16568238,2017,Honda,Accord EX-L,24998.0
902,15660794,2012,Honda,Accord LX-S,13998.0
903,16171353,2014,Honda,Civic LX,12998.0
904,16250302,2010,Honda,Civic LX,12599.0
905,15776868,2015,Honda,CR-V Touring,25998.0
906,16497727,2016,Honda,Fit LX,14998.0
907,16238592,2007,Honda,Fit Sport,10998.0
908,15908814,2011,Honda,Fit,11599.0
909,16568200,2018,Honda,HR-V LX,22998.0
910,16170908,2011,Honda,Pilot EX-L,19998.0
911,16237849,2007,Hyundai,Accent SE,7599.0
912,16238656,2017,Hyundai,Accent SE,12998.0
913,15660972,2012,Hyundai,Elantra GLS,10599.0
914,16171530,2016,Hyundai,Elantra SE,12998.0
915,16171024,2014,Hyundai,Santa Fe Limited,21998.0
916,16494137,2017,Hyundai,Santa Fe Limited Ultimate,27998.0
917,16171349,2011,Hyundai,Sonata GLS,10599.0
918,16250651,2015,Hyundai,Sonata SE,13998.0
